SSID,MAC ,lat,Lot,hight
Ariel_University24,c2:6c:ac:9f:fb:27,32.10489300606392,35.20928224839672,690.7435731036957
 ,00:27:22:f3:e2:f3,32.105924522405914,35.21055874734606,688.6737904292652
 0,00:27:22:f3:a6:9a,32.105801846979396,35.21010479765049,688.5497026939919
 4,58:70:c6:00:d0:f1,32.10577582600903,35.20997089589932,688.5217353450139
Afikim-739254,1c:b9:c4:16:06:e8,32.10584273376777,35.21021078186345,688.5965322405589
NIPPON_2516,08:97:58:32:a6:3e,32.10572050842588,35.2097599664662,688.5550300637956
 4,f8:a9:d0:66:06:4d,32.10572050842588,35.2097599664662,688.5550300637956
Guest8,b2:6c:ac:9f:fb:1f,32.10462618980084,35.209785081826745,698.9025885004485
Ariel_University,1c:b9:c4:15:44:5c,32.10505564420939,35.21026513516732,703.3463605877639
Ariel_University4,1c:b9:c4:15:42:6c,32.105382326454894,35.210379922222494,690.5953548222516
Afikim-73925,00:1a:dd:f5:e9:25,32.10562571316993,35.21030626994565,689.1763663264628
 24,1c:b9:c4:95:42:67,32.105393533722584,35.21035937704057,690.5277389594698
Ariel_University8,00:11:6b:2a:90:3c,32.10492080273792,35.20973323805968,703.1072222548489
PEPWAVE_C99D16,1c:b9:c4:14:2f:a8,32.10591114100764,35.21043701631978,688.6622483231179
PEPWAVE_C99D0,00:1a:dd:f5:e9:24,32.105460466409745,35.210257453794235,689.4884991272369
PEPWAVE_9481,00:1a:dd:f4:ef:04,32.105962572338896,35.21055153552892,688.6825017110157
Ariel_University,1c:b9:c4:15:42:68,32.10500246350175,35.21047383493811,690.3500932128433
 0,00:1a:dd:f5:06:a4,32.10593532045871,35.21038076777716,688.6045855255679
 12,00:1a:dd:f5:06:a5,32.10593532045871,35.21038076777716,688.6045855255679
TOP-SECRET4,1c:b9:c4:16:06:ec,32.10604981378468,35.21091908466632,688.7622466266455
PEPWAVE_C99D4,00:1a:dd:f4:ef:c5,32.106089276564596,35.21106968179408,688.7624378298848
PEPWAVE_C99D20,00:0d:f0:3e:fa:ca,32.106089276564596,35.21106968179408,688.7624378298848
PEPWAVE_C99D28,1c:b9:c4:96:06:e7,32.106129976640474,35.21159973010257,689.0436342811676
TOP-SECRET0,10:be:f5:36:02:e2,32.10614939016676,35.21138726608906,688.8993666020681
TOP-SECRET8,00:1a:dd:f4:ef:c4,32.10614939016676,35.21138726608906,688.8993666020681
Bezeq-NGN_E77EB90,cc:b2:55:e7:7e:ba,32.106181954122206,35.21168763894033,689.1981253462078
 ,00:1a:dd:f4:fc:84,32.106211489963755,35.21194838735254,689.2763252871639
Afikim_Wifi0,00:1a:dd:f4:fc:85,32.106211489963755,35.21194838735254,689.2763252871639
Afikim_Wifi4,f8:e7:1e:33:87:38,32.106211489963755,35.21194838735254,689.2763252871639
Afikim_Wifi8,00:1a:dd:f4:fc:64,32.106211489963755,35.21194838735254,689.2763252871639
Afikim_Wifi12,00:1a:dd:f4:fc:65,32.106211489963755,35.21194838735254,689.2763252871639
IT-MNG,1c:b9:c4:16:cd:18,32.105760148875554,35.21206399289527,690.460869314654
Ariel_University4,00:27:19:13:fc:a4,32.10520095441039,35.211813446554004,694.5187617004623
Ariel_University0,1c:b9:c4:56:cd:18,32.105755717208204,35.21206208631172,690.4771826394856
Police_Shomron ,f8:e7:1e:33:87:3c,32.10578181130056,35.21207187967583,690.5323471428377
IT-MNG0,1c:b9:c4:15:fd:e8,32.10534576509134,35.21169309934411,691.3431389455745
IT-MNG4,1c:b9:c4:16:cd:1c,32.10578181130056,35.21207187967583,690.5323471428377
IT-MNG4,1c:b9:c4:55:fd:e8,32.10513842553273,35.21141955571388,698.5747888633089
Ariel_University,1c:b9:c4:15:fd:ec,32.10533711925973,35.2118598855837,691.9964341016355
Ariel_University0,1c:b9:c4:15:3a:28,32.105448644069995,35.21192983211315,691.5885470680463
Ariel_University12,1c:b9:c4:15:36:9c,32.105191757257465,35.2112199723324,703.6200349313401
Ariel_University8,1c:b9:c4:96:cd:17,32.105448644069995,35.21192983211315,691.5885470680463
Ariel_University4,1c:b9:c4:15:36:98,32.105151145554075,35.21116457683499,700.3504652541378
Ariel_University,1c:b9:c4:15:3a:2c,32.105338150765675,35.21187487697705,692.0554072332519
Ariel_University0,24:79:2a:2b:34:a8,32.105338150765675,35.21187487697705,692.0554072332519
Ariel_University0,1c:b9:c4:16:05:78,32.10473335762842,35.21029630833351,698.1394659385696
Ariel_University16,1c:b9:c4:16:2b:e8,32.1047435953985,35.210569869112454,691.2729104560402
 ,8c:0c:90:af:76:53,32.105210120790346,35.21178480914369,692.3377115782242
Ariel_University,24:79:2a:2b:34:e8,32.10507123327566,35.21145722461369,693.5785828198289
Ariel_University,1c:b9:c4:15:44:88,32.10468568958547,35.21132743194645,694.3363482429866
Ariel_University,1c:b9:c4:15:ed:48,32.104641980539824,35.21095156928015,690.9339973891265
Ariel_University,8c:0c:90:2f:d3:d8,32.10450242754861,35.21095633191016,695.2145993359444
Ariel_University,ec:8c:a2:08:79:a8,32.104697508718836,35.21075809840327,693.515546031181
Ariel_University8,1c:b9:c4:95:ed:47,32.104906121909195,35.21135241304572,691.7266026300563
Ariel_University12,1c:b9:c4:15:ed:4c,32.1048674859546,35.21138014652286,690.8633013150281
Ariel_University16,ec:8c:a2:08:79:88,32.10493454942741,35.210993687799785,688.9904963388942
Ariel_University0,ec:8c:a2:08:79:ac,32.10491909900176,35.21130154968856,693.8682117313015
Ariel_University0,1c:b9:c4:14:36:f8,32.104519883098945,35.211279570886184,694.6482809964774
EVE8,1c:b9:c4:16:05:7c,32.104875348940055,35.210819919028296,708.9043805783167
Ariel_University,1c:b9:c4:14:2b:c8,32.105008702191334,35.21113497892649,700.6164901824422
Ariel_University0,1c:b9:c4:14:2b:cc,32.10504392751344,35.21106960662548,702.0456994786932
Ariel_University0,1c:b9:c4:15:41:78,32.10430899523001,35.21079053892265,697.5936143951131
Ariel_University4,1c:b9:c4:94:2b:c7,32.1050271314145,35.21103245039248,700.7822284453173
 ,1c:b9:c4:95:44:87,32.104750634791365,35.21122999135554,699.6870730661486
Ariel_University,1c:b9:c4:15:44:8c,32.10473150718274,35.211193917522,695.551073827083
 ,1c:b9:c4:94:30:07,32.10506214894986,35.21071549460977,692.6868607099875
Ariel_University0,1c:b9:c4:14:30:0c,32.10506214894986,35.21071549460977,692.6868607099875
Ariel_University0,1c:b9:c4:14:30:08,32.10501114734997,35.21068038303641,697.5475606772844
Ariel_University,1c:b9:c4:16:2d:e8,32.10490165079367,35.21042700948883,690.4545398397593
Ariel_University4,ac:83:f3:b2:00:e9,32.10500248118355,35.210472263787054,692.7188464192927
magneto12,1c:b9:c4:15:25:48,32.10474810748191,35.21006596289329,699.4306942701077
 0,1c:b9:c4:95:44:57,32.10500097336687,35.21047477768118,710.7476613871767
yosh,00:11:6b:11:7d:c7,32.104856503845454,35.21042484384295,709.1788238798428
Ariel_University24,38:a2:8c:02:e7:6e,32.10500248118355,35.210472263787054,692.7188464192927
Ariel_University0,1c:b9:c4:16:2d:ec,32.10493191549645,35.21025667401684,692.7030958914264
